grupo,tipo,nombre,CODMUN,DIRECCION,X,Y,info,CMUN,CDIS
Transporte,Bocas de metro,Sevilla - Alcalá,079,"Calle Alcalá, 23",-3.6991673634477946,40.41805463331155,Líneas: 2,079,01
Transporte,Bocas de metro,Banco de España - Palacio de Buenavista,079,"Calle Alcalá, 51",-3.6942064688648992,40.41934576077108,Líneas: 2,079,01
Transporte,Bocas de metro,Banco de España - Banco de España,079,"Calle Alcalá, 48 (c/v Paseo del Prado)",-3.694391536104616,40.41900230668243,Líneas: 2,079,01
Transporte,Bocas de metro,Banco de España - Marqués de Cubas,079,"Calle Alcalá, 46 (c/v Calle Marqués de Cubas)",-3.695697338389726,40.41875122109223,Líneas: 2,079,01
Transporte,Bocas de metro,Banco de España - Barquillo,079,"Calle Alcalá, 47 (c/v Calle Barquillo)",-3.6957831838966553,40.41907503098238,Líneas: 2,079,01
Transporte,Bocas de metro,Retiro - Lagasca,079,"Calle Lagasca, 4",-3.6858399874252736,40.42075600333319,Líneas: 2,079,04
Transporte,Bocas de metro,Retiro - Retiro,079,Parque del Retiro,-3.6854340234142273,40.42024489227095,Líneas: 2,079,03
Transporte,Bocas de metro,Retiro - Claudio Coello,079,"Calle Alcalá, 75 (c/v Calle Claudio Coello)",-3.687074585788507,40.42045138288267,Líneas: 2,079,04
Transporte,Bocas de metro,Príncipe de Vergara - Alcalá,079,"Calle Alcalá, 123 (c/v Calle Príncipe de Vergara)",-3.679804276614496,40.42305286252227,"Líneas: 2, 9",079,04
Transporte,Bocas de metro,"Goya - Conde de Peñalver, pares",079,"Calle Conde de Peñalver, 2 (c/v Calle Alcalá)",-3.675591551570747,40.42496941238453,"Líneas: 2, 4",079,04
Transporte,Bocas de metro,"Goya - Conde de Peñalver, impares",079,"Calle Goya, 89 (c/v Calle Conde de Peñalver, 1)",-3.675816328155157,40.425049182408685,"Líneas: 2, 4",079,04
Transporte,Bocas de metro,"Goya - Felipe II, pares",079,"Avenida Felipe II, 12 (c/v Calle Narváez)",-3.6761702930428695,40.42390296759849,"Líneas: 2, 4",079,04
Transporte,Bocas de metro,"Goya - Felipe II, impares",079,"Avenida Felipe II, 1 (c/v Calle Narváez)",-3.6761497840301978,40.42420939491553,"Líneas: 2, 4",079,04
Transporte,Bocas de metro,Goya - General Díaz Porlier,079,"Calle Goya, 62 (c/v Calle General Díaz Porlier)",-3.6775582816728294,40.424777742448505,"Líneas: 2, 4",079,04
Transporte,Bocas de metro,Goya - Centro Comercial,079,Nivel -2 Centro Comercial,-3.675056785707893,40.42454009633208,"Líneas: 2, 4",079,04
Transporte,Bocas de metro,Manuel Becerra - D. Ramón de la Cruz,079,"Plaza Manuel Becerra, 4 (Calle Francisco Silvela/Calle Don Ramón de la Cruz)",-3.669528671680068,40.428166794300815,"Líneas: 2, 6",079,04
Transporte,Bocas de metro,Manuel Becerra - Doctor Esquerdo,079,"Plaza Manuel Becerra, 20 (Calle Alcalá/Calle Doctor Esquerdo)",-3.669299339200472,40.42762757720638,"Líneas: 2, 6",079,04
Transporte,Bocas de metro,Ventas - Plaza de Toros,079,"Calle Alcalá, 233 (Frente a Pza. de Toros)",-3.663355928296996,40.431040162123054,"Líneas: 2, 5",079,04
Transporte,Bocas de metro,La Elipa - Avda. Marqués de Corbera,079,"Avenida Marqués de Corbera, 56",-3.6508960004544817,40.426300023721346,Líneas: 2,079,15
Transporte,Bocas de metro,Moncloa - Princesa,079,"Calle Princesa, 96 (Junta municipal)",-3.7189580614983666,40.43468120689754,"Líneas: 3, 6",079,09
Transporte,Bocas de metro,Moncloa - Ascensor,079,En vestibulo mixto Metro-Intercambiador (nivel-2) a la altura puerta corredera intercambiador,-3.719618161727641,40.43466809579565,"Líneas: 3, 6",079,09
Transporte,Bocas de metro,Moncloa - Intercambiador E. del Aire,079,"Calle Princesa, impares",-3.7195241359688023,40.43469570742743,"Líneas: 3, 6",079,09
Transporte,Bocas de metro,Argüelles - Princesa,079,"Calle Princesa, 56 (c/v Calle Alberto Aguilera)",-3.715941046394478,40.43034854378352,"Líneas: 3, 4, 6",079,01
Transporte,Bocas de metro,Argüelles - Alberto Aguilera,079,"Calle Alberto Aguilera, 70 (c/v Calle Gaztambide)",-3.715626194035911,40.43067481621554,"Líneas: 3, 4, 6",079,07
Transporte,Bocas de metro,Argüelles - Altamirano,079,"Calle Princesa, 65 (c/v Calle Altamirano)",-3.717037923874553,40.43150391974448,"Líneas: 3, 4, 6",079,09
Transporte,Bocas de metro,Argüelles - Guzmán El Bueno - Ascensor,079,"Calle Alberto Aguilera, 62",-3.714387064031045,40.43055634422248,"Líneas: 3, 4, 6",079,07
Transporte,Bocas de metro,"Ventura Rodríguez - Princesa, impares",079,"Calle Princesa, 23",-3.713747483054384,40.426929646697694,Líneas: 3,079,09
Transporte,Bocas de metro,Plaza de España - Leganitos,079,"Calle Gran Vía, 73",-3.710949672860201,40.42319910263426,"Líneas: 3, 10, 2",079,01
Transporte,Bocas de metro,Plaza de España - Gran Vía,079,"Calle Gran Vía, 80",-3.710538351232242,40.42331874602397,"Líneas: 3, 10, 2",079,01
Transporte,Bocas de metro,Plaza de España - Plaza de España,079,"Plaza España, 18",-3.7119851321714497,40.42413868783952,"Líneas: 3, 10, 2",079,09
Transporte,Bocas de metro,Plaza de España - Reyes,079,"Calle Reyes, 1",-3.710694808031059,40.4236240930896,"Líneas: 3, 10, 2",079,01
Transporte,Bocas de metro,Plaza de España - Princesa,079,"Calle Princesa, 2",-3.710923478411312,40.42364545984754,"Líneas: 3, 10, 2",079,01
Transporte,Bocas de metro,Plaza de España - Ascensor Acceso a línea 10,079,Plaza Conde de Toreno,-3.709243017444821,40.4245699390766,"Líneas: 3, 10, 2",079,01
Transporte,Bocas de metro,Callao - Plaza de Callao,079,"Plaza de Callao, 1",-3.705788900841142,40.4200414831281,"Líneas: 3, 5",079,01
