id,intensidad,ocupacion,carga,vmed,tipo_elem_estacion,distrito,id_punto,cod_cent,nombre,Long,Lat
4062,144,1.0,6,0.0,URB,1.0,4708,90034,TOLEDO S-N(DUQUE DE ALBA-COLEGIATA),-3.70782521227664,40.4121569901967
3875,115,1.0,5,0.0,URB,11.0,5295,85021,MARQUES JURA REAL N-S (PEDRO YAGUE-GRAL. SERRANO),-3.70852680433924,40.3931864010448
3494,760,2.0,16,66.0,URB,8.0,10381,76025,MONASTERIO DE BATUECAS S-N(MONASTERIO DE EL ESCORIAL-AV. SANTUARIO VALVERDE),-3.70455879941276,40.5049435949207
1014,60,,0,63.0,URB,17.0,4842,27006,AV. REAL PINTO PASADA Ø20 S-N(PARVILLAS ALTAS-MARISCAL GTRREZ. OTERO),-3.70671675786989,40.3448972775409
3873,206,13.0,22,0.0,URB,11.0,5293,85019,ANTONIO LÓPEZ E-O (Pº STA MARIA CABEZA-MARQUES JURA REAL),-3.7068713503028,40.3935968650104
3523,652,4.0,27,0.0,URB,8.0,10434,76055,MONASTERIO PAULAR O -E  (MONASTERIO SILOS-  MONASTERIO HUELGAS),-3.70789945053718,40.5010044886943
4157,337,5.0,18,0.0,URB,17.0,10931,94016,SAN CESAREO Ø40 E-O(SAN ERASMO - AV. REAL PINTO),-3.70871886775584,40.3377993553781
3487,295,2.0,14,0.0,URB,8.0,10376,76018,MONASTERIO BATUECAS N-S(MONASTERIO DE GUADALUPE-AV. SANTUARIO VALVERDE),-3.70451076351434,40.5059881733618
3470,25,8.0,10,0.0,URB,8.0,6962,76001,"MONASTERIO ESCORIAL, 14 E-O (MONASTERIO DE LAS HUELGAS- SANTUARIO DE VALVERDE)",-3.70819689562097,40.5045348954498
4259,296,5.0,14,0.0,URB,7.0,4472,97017,San Francisco Sales O-E - Santander-Pablo Iglesias,-3.70857438248486,40.445108293294
4070,76,56.0,35,0.0,URB,1.0,4716,90042,CUCHILLEROS N-S(MAESTRO VILLA -TINTOREROS),-3.70804877358278,40.4143604338656
3499,50,1.0,5,0.0,URB,8.0,10367,76030,MONASTERIO SUSO Y YUSO E-O (MONASTERIO BATUECAS - MONASTERIO MONTESCLAROS),-3.7037989294965,40.502314110808
3497,210,1.0,12,0.0,URB,8.0,10384,76028,AV. SANTUARIO VALVERDE O-E(MONASTERIO DE BATUECAS-MONASTERIO DE LAS HUELGAS),-3.70566527356779,40.5055710629717
4459,129,1.0,7,0.0,M30,8.0,6702,PM12921,PM12921,-3.70800714935824,40.481270990854
3517,79,14.0,19,0.0,URB,8.0,10686,76049,AV. MONASTERIO SILOS O-E(MONASTERIO HUELGAS-MONASTERIO BATUECAS),-3.7055907726441,40.5034587370274
4460,1041,3.0,30,0.0,M30,8.0,3510,PM12961,PM12961,-3.70349849525922,40.4823949337519
3495,1356,4.0,30,83.0,URB,8.0,10382,76026,MONASTERIO DE BATUECAS N-S(AV. SANTUARIO VALVERDE-MONASTERIO DE EL ESCORIAL),-3.70460308251598,40.504923551023
3874,816,5.0,31,0.0,URB,11.0,5294,85020,SAN DELFIN N-S (AVDA. DEL MANZANARES-ANTONIO LOPEZ),-3.7081103808151,40.3943693039316
3520,40,0.0,8,0.0,URB,8.0,10431,76052,MONASTERIO HUELGAS N-S (AV. MONASTERIO SUSO Y YUSO-  MONASTERIO DE EL PAULAR),-3.70702920798252,40.5020351343552
1015,0,0.0,0,0.0,URB,17.0,6825,27007,AV. REAL PINTO Ø11 N-S (DR. PEREZ DOMINGUEZ-DR. MARTIN AREVALO),-3.70635589940999,40.3468365621034
1023,60,1.0,0,42.0,URB,17.0,4851,27034,ALCOCER TRAS GR-6 E-O (EDUARDO BARREIROS-CTRA. CCHEL. VILLAVERDE),-3.70547565039366,40.3500837912696
4073,104,51.0,41,0.0,URB,1.0,3401,90045,CONCEPCION JERONIMA O-E(SALVADOR -TOLEDO),-3.70654103030804,40.4138820126694
3493,840,3.0,25,79.0,URB,8.0,10378,76024,AV. SANTUARIO VALVERDE O-E(MONASTERIO DE BATUECAS-MONASTERIO DE GUADALUPE),-3.70350732216612,40.5054260255267
1021,120,,0,77.0,URB,17.0,4849,27032,EDUARDO BARREIROS APARCAMIENTO RENFE N-S (LAGUNA RODRIGO-ALCOCER),-3.70501097244247,40.3508523993922
