GEOCODIGO,campana,ano,semana,n_vacunas,tuits_gripe,interes_gripe
081,2022,2022,42,384,180,100
081,2022,2022,43,429,270,69
081,2022,2022,44,385,218,77
082,NA,2022,35,0,76,22
082,2022,2022,36,0,86,21
082,2022,2022,37,0,64,22
082,2022,2022,38,0,98,32
082,2022,2022,39,0,126,42
082,2022,2022,40,0,112,60
082,2022,2022,41,225,176,77
082,2022,2022,42,229,180,100
082,2022,2022,43,241,270,69
082,2022,2022,44,229,218,77
083,NA,2022,35,0,76,22
083,2022,2022,36,0,86,21
083,2022,2022,37,0,64,22
083,2022,2022,38,0,98,32
083,2022,2022,39,0,126,42
083,2022,2022,40,0,112,60
083,2022,2022,41,365,176,77
083,2022,2022,42,343,180,100
083,2022,2022,43,349,270,69
083,2022,2022,44,368,218,77
084,NA,2022,35,0,76,22
084,2022,2022,36,0,86,21
084,2022,2022,37,0,64,22
084,2022,2022,38,0,98,32
084,2022,2022,39,0,126,42
084,2022,2022,40,0,112,60
084,2022,2022,41,306,176,77
084,2022,2022,42,271,180,100
084,2022,2022,43,275,270,69
084,2022,2022,44,286,218,77
085,NA,2022,35,0,76,22
085,2022,2022,36,0,86,21
085,2022,2022,37,0,64,22
085,2022,2022,38,0,98,32
085,2022,2022,39,0,126,42
085,2022,2022,40,0,112,60
085,2022,2022,41,675,176,77
085,2022,2022,42,715,180,100
085,2022,2022,43,711,270,69
085,2022,2022,44,789,218,77
086,NA,2022,35,0,76,22
086,2022,2022,36,0,86,21
086,2022,2022,37,0,64,22
086,2022,2022,38,0,98,32
086,2022,2022,39,0,126,42
086,2022,2022,40,0,112,60
086,2022,2022,41,316,176,77
086,2022,2022,42,291,180,100
086,2022,2022,43,339,270,69
