mes,pais_orig_cod,pais_orig,mun_dest_cod,mun_dest,turistas,CMUN,gasto,Target
2019-07,123,PORTUGAL,28022,BOADILLA DEL MONTE,96,022,93.65,93.65
2019-07,125,REINO UNIDO,28022,BOADILLA DEL MONTE,279,022,123.22,123.22
2019-07,126,ALEMANIA,28022,BOADILLA DEL MONTE,188,022,102.04,102.04
2019-07,131,SUECIA,28022,BOADILLA DEL MONTE,64,022,72.9,72.9
2019-07,132,SUIZA,28022,BOADILLA DEL MONTE,30,022,183.3,183.3
2019-07,302,EE.UU.,28022,BOADILLA DEL MONTE,155,022,119.05,119.05
2019-07,340,ARGENTINA,28022,BOADILLA DEL MONTE,58,022,86.91,86.91
2019-07,343,COLOMBIA,28022,BOADILLA DEL MONTE,30,022,162.67,162.67
2019-07,407,CHINA,28022,BOADILLA DEL MONTE,78,022,359.08,359.08
2019-07,000,TOTAL,28023,"BOALO, EL",258,023,86.78,86.78
2019-07,010,TOTAL EUROPA,28023,"BOALO, EL",203,023,86.78,86.78
2019-07,011,TOTAL UNIÓN EUROPEA,28023,"BOALO, EL",173,023,86.78,86.78
2019-07,030,TOTAL AMÉRICA,28023,"BOALO, EL",46,023,86.78,86.78
2019-07,110,FRANCIA,28023,"BOALO, EL",57,023,76.36,76.36
2019-07,126,ALEMANIA,28023,"BOALO, EL",35,023,102.04,102.04
2019-07,000,TOTAL,28025,BREA DE TAJO,88,025,86.78,86.78
2019-07,010,TOTAL EUROPA,28025,BREA DE TAJO,71,025,86.78,86.78
2019-07,011,TOTAL UNIÓN EUROPEA,28025,BREA DE TAJO,57,025,86.78,86.78
2019-07,000,TOTAL,28026,BRUNETE,326,026,86.78,86.78
2019-07,010,TOTAL EUROPA,28026,BRUNETE,270,026,86.78,86.78
2019-07,011,TOTAL UNIÓN EUROPEA,28026,BRUNETE,238,026,86.78,86.78
2019-07,030,TOTAL AMÉRICA,28026,BRUNETE,40,026,86.78,86.78
2019-07,110,FRANCIA,28026,BRUNETE,73,026,76.36,76.36
2019-07,121,PAÍSES BAJOS,28026,BRUNETE,57,026,78.92,78.92
2019-07,000,TOTAL,28027,BUITRAGO DEL LOZOYA,466,027,86.78,86.78
2019-07,010,TOTAL EUROPA,28027,BUITRAGO DEL LOZOYA,436,027,86.78,86.78
2019-07,011,TOTAL UNIÓN EUROPEA,28027,BUITRAGO DEL LOZOYA,406,027,86.78,86.78
2019-07,103,BÉLGICA,28027,BUITRAGO DEL LOZOYA,31,027,85.46,85.46
2019-07,110,FRANCIA,28027,BUITRAGO DEL LOZOYA,274,027,76.36,76.36
2019-07,121,PAÍSES BAJOS,28027,BUITRAGO DEL LOZOYA,58,027,78.92,78.92
2019-07,000,TOTAL,28028,BUSTARVIEJO,143,028,86.78,86.78
2019-07,010,TOTAL EUROPA,28028,BUSTARVIEJO,96,028,86.78,86.78
2019-07,011,TOTAL UNIÓN EUROPEA,28028,BUSTARVIEJO,91,028,86.78,86.78
2019-07,110,FRANCIA,28028,BUSTARVIEJO,33,028,76.36,76.36
2019-07,000,TOTAL,28029,CABANILLAS DE LA SIERRA,55,029,86.78,86.78
2019-07,010,TOTAL EUROPA,28029,CABANILLAS DE LA SIERRA,50,029,86.78,86.78
2019-07,011,TOTAL UNIÓN EUROPEA,28029,CABANILLAS DE LA SIERRA,42,029,86.78,86.78
2019-07,000,TOTAL,28030,"CABRERA, LA",455,030,86.78,86.78
2019-07,010,TOTAL EUROPA,28030,"CABRERA, LA",410,030,86.78,86.78
2019-07,011,TOTAL UNIÓN EUROPEA,28030,"CABRERA, LA",340,030,86.78,86.78
2019-07,030,TOTAL AMÉRICA,28030,"CABRERA, LA",35,030,86.78,86.78
2019-07,103,BÉLGICA,28030,"CABRERA, LA",36,030,85.46,85.46
2019-07,110,FRANCIA,28030,"CABRERA, LA",114,030,76.36,76.36
2019-07,121,PAÍSES BAJOS,28030,"CABRERA, LA",49,030,78.92,78.92
2019-07,125,REINO UNIDO,28030,"CABRERA, LA",58,030,123.22,123.22
